Fecha,Tiempo,Infectados_Acumulados,Recuperados_Acumulados,Muertes_Acumulados,Infectados,Recuperados,Muertos
1/22/20,1,0,0,0,0,0,0
1/23/20,2,0,0,0,0,0,0
1/24/20,3,0,0,0,0,0,0
1/25/20,4,0,0,0,0,0,0
1/26/20,5,0,0,0,0,0,0
1/27/20,6,0,0,0,0,0,0
1/28/20,7,0,0,0,0,0,0
1/29/20,8,0,0,0,0,0,0
1/30/20,9,0,0,0,0,0,0
1/31/20,10,2,0,0,2,0,0
2/1/2020,11,2,0,0,0,0,0
2/2/2020,12,2,0,0,0,0,0
2/3/2020,13,2,0,0,0,0,0
2/4/2020,14,2,0,0,0,0,0
2/5/2020,15,2,0,0,0,0,0
2/6/2020,16,2,0,0,0,0,0
2/7/2020,17,2,0,0,0,0,0
2/8/2020,18,2,0,0,0,0,0
2/9/2020,19,2,0,0,0,0,0
2/10/2020,20,2,0,0,0,0,0
2/11/2020,21,2,0,0,0,0,0
2/12/2020,22,2,2,0,0,2,0
2/13/20,23,2,2,0,0,0,0
2/14/20,24,2,2,0,0,0,0
2/15/20,25,2,2,0,0,0,0
2/16/20,26,2,2,0,0,0,0
2/17/20,27,2,2,0,0,0,0
2/18/20,28,2,2,0,0,0,0
2/19/20,29,2,2,0,0,0,0
2/20/20,30,2,2,0,0,0,0
2/21/20,31,2,2,0,0,0,0
2/22/20,32,2,2,0,0,0,0
2/23/20,33,2,2,0,0,0,0
2/24/20,34,2,2,0,0,0,0
2/25/20,35,2,2,0,0,0,0
2/26/20,36,2,2,0,0,0,0
2/27/20,37,2,2,0,0,0,0
2/28/20,38,2,2,0,0,0,0
2/29/20,39,2,2,0,0,0,0
3/1/2020,40,2,2,0,0,0,0
3/2/2020,41,3,2,0,1,0,0
3/3/2020,42,3,2,0,0,0,0
3/4/2020,43,3,2,0,0,0,0
3/5/2020,44,4,2,0,1,0,0
3/6/2020,45,13,2,0,9,0,0
3/7/2020,46,13,2,0,0,0,0
3/8/2020,47,17,3,0,4,1,0
3/9/2020,48,17,3,0,0,0,0
3/10/2020,49,20,3,0,3,0,0
3/11/2020,50,20,3,0,0,0,0
3/12/2020,51,28,3,0,8,0,0
3/13/20,52,45,3,0,17,0,0
3/14/20,53,59,8,0,14,5,0
3/15/20,54,63,8,0,4,0,0
3/16/20,55,90,8,0,27,0,0
3/17/20,56,114,8,0,24,0,0
3/18/20,57,147,8,0,33,0,0
3/19/20,58,199,9,1,52,1,1
3/20/20,59,253,9,1,54,0,0
3/21/20,60,306,12,1,53,3,0
3/22/20,61,367,16,1,61,4,0
3/23/20,62,438,16,1,71,0,0
3/24/20,63,495,22,1,57,6,0
3/25/20,64,658,29,3,163,7,2
3/26/20,65,840,38,3,182,9,0
3/27/20,66,1036,45,4,196,7,1
3/28/20,67,1264,49,4,228,4,0
3/29/20,68,1534,64,8,270,15,4
3/30/20,69,1836,66,9,302,2,1
3/31/20,70,2337,121,17,501,55,8
4/1/2020,71,2777,190,24,440,69,7
4/2/2020,72,3548,235,30,771,45,6
4/3/2020,73,4149,281,34,601,46,4
4/4/2020,74,4731,333,43,582,52,9
4/5/2020,75,5389,355,45,658,22,2
4/6/2020,76,6343,406,47,954,51,2
4/7/2020,77,7497,494,58,1154,88,11
4/8/2020,78,8672,580,63,1175,86,5
4/9/2020,79,10131,698,76,1459,118,13
4/10/2020,80,11917,795,94,1786,97,18
4/11/2020,81,13584,1045,106,1667,250,12
4/12/2020,82,15770,1291,130,2186,246,24
4/13/20,83,18328,1470,148,2558,179,18
4/14/20,84,21102,1694,170,2774,224,22
4/15/20,85,24490,1986,198,3388,292,28
4/16/20,86,27938,2304,232,3448,318,34
4/17/20,87,32008,2590,273,4070,286,41
4/18/20,88,36793,3057,313,4785,467,40
4/19/20,89,42853,3291,361,6060,234,48
4/20/20,90,47121,3446,405,4268,155,44
4/21/20,91,52763,3873,456,5642,427,51
4/22/20,92,57999,4420,513,5236,547,57
4/23/20,93,62773,4891,555,4774,471,42
4/24/20,94,68622,5568,615,5849,677,60
4/25/20,95,74588,6250,681,5966,682,66
4/26/20,96,80949,6767,747,6361,517,66
4/27/20,97,87147,7346,794,6198,579,47
4/28/20,98,93558,8456,867,6411,1110,73
